x,y,z,xt,yt,zt
0.641598, -0.065110, -1.213926, , , 
1.187456, -0.101628, -1.238139, , , 
1.032087, 0.249657, -0.920634, , , 
1.102318, -0.073575, -1.017780, , , 
0.890589, 0.199624, -0.912946, , , 
1.139046, 0.074841, -1.067716, , , 
1.478967, 0.121464, -1.019109, , , 
0.951149, -0.020972, -1.187100, , , 
0.612050, 0.133504, -0.994111, , , 
1.556466, 0.306891, -0.994326, , , 
1.705492, 0.161588, -1.213271, , , 
1.803882, 0.460885, -1.195163, , , 
2.679825, -1.170567, -2.247756, , , 
0.749671, -0.015820, -1.208538, , , 
1.020085, 0.137951, -0.984742, , , 
1.497274, 0.118191, -1.047280, , , 
1.003993, 0.208450, -0.911651, , , 
1.390427, 0.304443, -0.804257, , , 
1.368938, 0.253862, -0.985675, , , 
2.858540, -1.068732, -2.169258, , , 
1.386732, 0.101562, -0.956980, , , 
1.168225, -0.170679, -0.999148, , , 
1.422493, 0.341441, -0.765241, , , 
0.906369, 0.200048, -0.950377, , , 
1.367914, 0.254799, -0.993106, , , 
0.862651, 0.195537, -0.992706, , , 
1.417938, 0.156285, -1.023489, , , 
0.980646, 0.110871, -1.024994, , , 
0.567407, 0.142340, -1.060747, , , 
1.283133, -0.331799, -0.881515, , , 
1.276357, -0.332423, -0.877015, , , 
1.281226, 0.210373, -1.002832, , , 
0.902883, -0.927654, -1.896401, , , 
1.364960, 0.253812, -0.979343, , , 
0.645968, 0.114665, -0.779247, , , 
1.029138, -0.071556, -1.136322, , , 
1.577765, 0.348110, -1.044962, , , 
1.110056, -0.220771, -0.749832, , , 
1.534035, 0.186222, -0.946502, , , 
1.287133, 0.369073, -0.992811, , , 
1.271130, 0.208302, -0.988675, , , 
2.280903, -0.495206, -1.489414, , , 
1.468879, 0.337095, -0.900861, , , 
1.508288, 0.279950, -0.907460, , , 
0.904845, 0.199914, -0.944701, , , 
1.119014, -0.124474, -0.928840, , , 
2.369111, -1.183511, -2.272914, , , 
0.695371, -0.092405, -1.167221, , , 
0.612367, 0.133988, -0.997939, , , 
1.075877, -0.207509, -0.697241, , , 
1.140616, 0.146432, -0.964830, , , 
1.042380, 0.314011, -0.905477, , , 
1.502956, 0.119036, -1.046750, , , 
1.616464, 0.197228, -0.966053, , , 
1.404441, 0.303055, -0.809706, , , 
0.809052, -0.014534, -1.448646, , , 
0.815497, -0.011530, -1.403479, , , 
0.677972, 0.163673, -0.971727, , , 
0.977490, 0.141130, -0.987157, , , 
1.313489, 0.242855, -0.915912, , , 
2.594937, -0.912198, -2.039431, , , 
1.497830, 0.294515, -0.806116, , , 
0.569358, 0.140907, -0.991221, , , 
1.297211, 0.240035, -0.894233, , , 
1.101000, 0.060342, -1.098520, , , 
1.123075, -0.337670, -0.756727, , , 
1.481963, 0.399425, -0.812022, , , 
2.324325, -0.932450, -2.025657, , , 
0.806057, 0.154629, -0.973348, , , 
0.783241, -0.112605, -1.357282, , , 
1.534980, 0.197341, -0.983489, , , 
2.267503, -0.956541, -1.898611, , , 
0.791757, -0.094808, -1.037661, , , 
1.669814, 0.396415, -1.117761, , , 
1.460918, 0.325205, -0.885111, , , 
1.144103, 0.164947, -1.044488, , , 
0.644659, -0.470679, -0.982422, , , 
1.045532, -0.023402, -1.150269, , , 
0.622048, 0.144805, -0.742380, , , 
1.054730, 0.229852, -0.975091, , , 
